,자사주문번호,거래처,주문일,사은품여부,출고예정일,주문/배송상태,운송장등록일자,상품명,상품수량,덤상품수량,상품유형,상품타입,매출액,자재명,초기자재수량,주문수량,취소수량,반품수량,배송유형,마감구분,클레임 상태,상품순번
0,40787430531512147,외부몰_직거래_11번가(신),20230531,N,20230602,배송 완료,2023-06-01 07:18:05,오천년의 신비 명품천일염(굵은입자) 10kg,1,0,단일 상품,일반,34430,명품천일염오천년의신비굵은입자10kg,1,1,0,0,택배배송,상온,,
1,40787430531510211,외부몰_직거래_11번가(신),20230531,N,20230602,배송 완료,2023-06-01 07:18:04,오천년의 신비 명품천일염(굵은입자) 10kg,1,0,단일 상품,일반,34430,명품천일염오천년의신비굵은입자10kg,1,1,0,0,택배배송,상온,,
2,40787430531510193,외부몰_직거래_11번가(신),20230531,N,20230602,배송 완료,2023-06-01 06:54:03,한입쏙 비엔나 120Gx2,2,0,단일 상품,일반,7660,한입쏙 비엔나 120G*2_BC(12입)/냉장,2,2,0,0,택배배송,냉장,,
3,40787430531510193,외부몰_직거래_11번가(신),20230531,N,20230602,배송 완료,2023-06-01 06:54:03,[11번가] 고메 함박스테이크 152Gx5개,1,0,묶음 상품,일반,16500,고메함박스테이크152G(22입)/냉장,5,5,0,0,택배배송,냉장,,
4,40787430531510193,외부몰_직거래_11번가(신),20230531,N,20230602,배송 완료,2023-06-01 06:54:03,[11번가] 고메 함박스테이크 152Gx5개,1,0,묶음 상품,일반,16500,고메함박스테이크152G(22입)/냉장,5,5,0,0,택배배송,냉장,,
5,40787430531509533,외부몰_직거래_11번가(신),20230531,N,20230602,배송 완료,2023-06-01 15:42:07,[복합_마켓전략]에어프라이어 칼집 군밤 톡톡까먹어밤 500GX3,3,0,묶음 상품,일반,85500,에어프라이어군밤(톡톡까먹어밤)500G/냉동,9,9,0,0,택배배송,냉동,,
6,40787430531508736,외부몰_직거래_11번가(신),20230530,N,20230602,배송 완료,2023-06-01 15:42:07,삼호 맑은어묵탕374G,10,0,단일 상품,일반,44800,삼호/모둠어묵탕374G/냉장,10,10,0,0,택배배송,냉장,,
7,40787430531508735,외부몰_직거래_11번가(신),20230530,N,20230602,배송 완료,2023-06-01 06:42:01,[11번가] 백설 초코칩 쿠키믹스 290g,1,0,단일 상품,일반,3330,초코칩쿠키믹스290G(10입/NEW),1,1,0,0,택배배송,상온,,
8,40787430531508735,외부몰_직거래_11번가(신),20230530,N,20230602,배송 완료,2023-06-01 06:42:01,[11번가] 백설 오븐용 깨찰빵믹스 500g,1,0,단일 상품,일반,5900,오븐용깨찰빵믹스500G임가공,1,1,0,0,택배배송,상온,,
9,40787430531508735,외부몰_직거래_11번가(신),20230530,N,20230602,배송 완료,2023-06-01 06:42:01,[11번가] 백설 찹쌀호떡믹스 400g,1,0,단일 상품,일반,3330,A)찹쌀호떡믹스400G(신규)/상온,1,1,0,0,택배배송,상온,,
