시설명,소재지,시설장,전화번호,운영법인,원본 소재지
대구안식원,북구 복현로20길 52,김시현,381-1560,선산복지재단,북구 복현로20길 52
성보재활원,북구 동북로71길 9-29,이금희,941-8328,성보재활원,북구 동북로71길 9-29
청구재활원,경산 와촌면 소월2길 20,박종욱,852-0423,청암재단,경산 와촌면 소월2길 20
일심재활원,동구 반야월북로27길 33,전상규,963-3927,성요한복지재단,동구 반야월북로 27길 33
자유재활원,동구 팔공산로 225,강영신,986-3060,아시아복지재단,동구 팔공산로 225
요한의 집 (실비),동구 반야월북로27길 33,허영기,963-7564,성요한복지재단,동구 반야월북로 27길 33
카리타스 남구보금자리,남구 안지랑로2길 15,금경환,710-7030,대구가톨릭 사회복지회,남구 안지랑로2길 15
힘찬누리,남구 효성로 50-1,임경미,473-0123,아시아복지재단,남구 효성로 50-1
카리타스달서구보금자리(실비),달서구 용산큰못1길 12,차호영,721-7090,대구가톨릭 사회복지회,달서구 용산큰못1길 12
천혜요양원,경산 와촌면 소월2길 20,박종욱,852-8570,청암재단,경산 와촌면 소월2길 20
더불어진인마을,동구 갓바위로 35-15,한상인,982-0080,더불어복지재단,동구 갓바위로 35-15
선명요육원,동구 팔공산로 225,남창현,986-3070,아시아복지재단,동구 팔공산로 225
노아의 집,서구 국채보상로42길 35,장춘호,525-7393,애망원유지재단,서구 국채보상로 42길 35
인제요양원,수성구 신천동로84길 21,박선학,752-4966,인제재단,수성구 신천동로84길 21
애망요양원,수성구 파동로51길 56,박은희,761-5980,애망원유지재단,수성구 파동로51길 56
룸비니동산,수성구 달구벌대로527길 13-12,이좌호,752-1080,보림,수성구 달구벌대 로527길 13-12
한사랑마을,현풍서로 20,이중하,616-4420,우함복지재단,현풍면 현풍서로 115길 20
미소마을,달구벌대로 14-17,오일열,359-1004,덕수복지재단,다사읍 달구벌대 로126길 14-17
애망장애영아원,수성구 파동로51길 56,이은영,763-7363,애망원유지재단,수성구 파동로51길 56
해인단기보호시설,북구 구암로60길 46-18,김경숙,312-3430,(사복)해인복지재단,북구 구암로60길 46-18
본미소힐링센터,달서구 구마로26안길 32-3(본동),이종숙,566-8005,(사복)해와달복지재단,달서구 구마로26안길 32-3(본동)
미문의 집,"중구 명륜로11길 41,",한세영,255-7970,(사복)대구남산복지재단,"중구 명륜로11길 41,"
천사의 집,"중구 명륜로24길 9, 2F",서주민,425-7975,(사복)대구남산복지재단,"중구 명륜로24길 9, 2F"
마중물그룹홈,"중구 명륜로24길 9, 3F",전정환,425-7978,(사복)대구남산복지재단,"중구 명륜로24길 9, 3F"
애호의집,"동구 반야월북로57길 37, 동해빌 A/401",이승경,965-0807,사)한국지적발달장애인,"동구 반야월북로57길 37, 동해빌 A/401"
한사랑 장애인공동가정,"동구 반야월북로57길 37-3, 동해빌 C/401",김동현,943-0448,(사복)한사랑재단,"동구 반야월북로57길 37-3, 동해빌 C/401"
한사랑 장애인공동가정 2호,"동구 동호로2길 21-1, 미르빌 301호",김동현,943-0448,(사복)한사랑재단,동구 동호로2길21-1 미르빌 301호
야베스빌,"동구 반야월로26길 39-2, 501호 야베스빌",김동현,943-0448,(사복)한사랑재단,동구 반야월로26길39-2 501호 야베스빌
해피스테이,"서구 달서로43길 8-13, A/202호",이종현,559-8287,사)한국신장장애인협회,"서구 달서로43길 8-13, A/202호"
그레이스홈,"서구 달서로9길 11, 미소빌라트 301호",이상민,554-1134,(사복)대구서문복지재단,"서구 달서로9길 11, 미소빌라트 301호"
더불어남구장애인 공동생활가정,남구 명덕로14길 68,김미정,651-4867,(사복)더불어복지재단,남구 명덕로14길 68
작은예수의 집,남구 안지랑로13길 52-1,정미영,652-6740,(재)작은예수수녀회,남구 안지랑로13길 52-1
나눔공동체,남구 앞산순환로89길 21,이왕욱,642-0101,개인,남구 앞산순환로89길 21
늘푸른집,"남구 앞산순환로89길 82, 대영빌 301호",정병주,621-1502,"사)한국지적발달장애인,복지협회",남구 앞산순환로89길 82 대영빌 301호
보금자리 공동생활가정,"남구 현충로7길 29-1, 대명하이츠 303호",오정한,657-0622,"사)한국지적발달장애인,복지협회 남부지부",남구 현충로7길 29-1 대명하이츠 303호
무지개그룹홈,"남구 현충로18길 11, 502호",전재수,657-0122,"사)한국지적발달장애인,복지협회 달성군지부","남구 현충로18길 11, 502호"
기쁨의집,"남구 앞산순환로81길 56-5, 캐슬하이츠1405동 502호",이정식,626-2220,"사)한국지적발달장애인,복지협회 달서구지부",남구 앞산순환로81길 56-5 캐슬하이츠1405동 502호
주황무지개그룹홈 공동생활가정,"남구 안지랑로10길 6, 501호 (대명동,파라다이스)",최원현,644-2356,사)한국지적발달장애인,"남구 안지랑로 10길 6, 501호 (대명동,파라다이스)"
꿈여울 공동생활가정,남구 두류공원로 43,이경순,653-8520,(사복)청인재단,"남구 두류공원로19길 43, 201호"
맑은소리A,"남구 안지랑로7길 11, 205호(대명동)",노봉남,,사)한국지적발달장애인,"남구 안지랑로7길 11, 205호(대명동)"
반석의 집,북구 검단동로4길 22,장윤채,721-7726,사)반석복지회,북구 검단동로4길 22
참일꾼의 집,"수성구 효행로 24, 6동403호 (만촌동,럭키골든아파트)",이종균,742-3480,(사복)아시아 복지재단,"수성구 효행로 24, 6동403호 (만촌동,럭키골든아파트)"
청인공동생활가정,수성구 고산로 70 ,이근영,792-6065,(사복)청인재단,수성구 고산로 70 청솔타운 216동 1107호
들안길 공동생활가정,"수성구 청수로20길 24-9, 301호 (두산동,아트하우스)",이응수,070-8125- 0124,사)한국지적발달장애인,"수성구 청수로20길 24-9, 301호 (두산동,아트하우스)"
하은의집,"달서구 월배로80길 86, 장인가 502호",권애경,621-0226,사)한국지적발달장애인,"달서구 월배로80길 86, 장인가 502호"
느티나무 공동생활가정,달서구 감삼길 26-10,이응수,070-8236-0123,사)한국지적발달장애인,달서구 감삼길 26-10 나무향기빌라 502호
블레싱홈,"달서구 중흥로5길 22, 한빛빌 501호",이상민,261-1134,(사복)대구서문복지재단,"달서구 중흥로5길 22, 한빛빌 501호"
셋둘삶터,"달성군 하빈면 하빈남로 27-2, 101호",신경희,588-8291,(사복)대한예수교 장로회총회,"달성군 하빈면 하빈남로 27-2, 101호"
아름다운집,"달성군 하빈면 하빈남로 27-2, 102호",신경희,588-8291,(사복)대한예수교 장로회총회,"달성군 하빈면 하빈남로 27-2, 102호"
꿈드림하우스,달성군 화원읍 성암로,박경림,,사)정인사회복지회,달성군 화원읍 성암로 7 리치빌 102호
대구장애인 종합복지관 공동생활가정,수성구 파동로,김대영,763-1011,사)국제라이온스협회,"수성구 파동로, 성원빌라 501호"
대구드림텍,달서구 성서로68길 42 (갈산동),강기표,583-1252,사복) 아시아 복지재단,달서구 성서로68길 42 (갈산동)
만승자립원,동구 팔공산로 225 (덕곡동),이종균,986-3080,사복) 아시아 복지재단,동구 팔공산로 225 (덕곡동)
숲,수성구 팔현길 136 (고모동),손영미,795-9777,사복) 화니재단,수성구 팔현길 136 (고모동)
한 창,달성군 비슬로366길 17 (논공읍),장훈석,654-5214,사) 대구직업 재활협회,달성군 비슬로366길 17 (논공읍)
달성장애인 재활자립장,달성군 달성2차로 221(구지면),우승윤,615-0506,사) 대구지체 장애인협회 달성군지회,달성군 달성2차로 221(구지면)
행복의일터,중구 달성공원로4길 30(대신동),신동혁,554-1134,사복) 대구서문 복지재단,중구 달성공원로4길 30(대신동)
남산 보호작업장,"중구 남산로2길 90, 층(남산동), 중구 대봉로 208-1(카페 청라)",윤보경,254-4902,사) 대구장애인 재활협회,"중구 남산로2길 90, 층(남산동), 중구 대봉로 208-1(카페 청라)"
마중물일터,중구 명륜로11길 41 (남산동),이영민,257-7970,사복) 대구남산 복지재단,중구 명륜로11길 41 (남산동)
다사랑 장애인 보호작업장,"중구 달구벌대로443길 26-11, 1층 (삼덕동3가)",오명환,255-0322,사) 대구장애인 문화예술 진흥회,"중구 달구벌대로443길 26-11, 1층 (삼덕동3가)"
자유 보호작업장,동구 팔공산로 225 (덕곡동),김영길,986-3090,사복) 아시아 복지재단,동구 팔공산로 225 (덕곡동)
일심 보호작업장,동구 반야월북로27길 33 (각산동),이수복,961-3928,사복) 성요한 복지재단,동구 반야월북로27길 33 (각산동)
더불어 보호작업장,동구 팔공산로 1675 (백안동),황보영숙,983-8051,사복) 더불어 복지재단,동구 팔공산로 1675 (백안동)
제일 보호작업장,동구 송라로2길 17-4 (신천동),오용주,752-9392,사복) 기독교대한 감리회,동구 송라로2길17-4 (신천동)
동행 보호작업장,동구 동촌로,김경섭,961-8426,사) 대구지체 장애인협회,"동구 동촌로54, 3층 (검사동)"
늘푸른 보호작업장,동구 안심로65길 31 (각산동),최상옥,961-5395,사) 늘푸른 행복마을,동구 안심로65길 31 (각산동)
서구장애인 보호작업장,"서구 국채보상로46길 57,6 (평리동)",박미애,523-2297,사복) 선린 복지재단,"서구 국채보상로46길 57,6 (평리동)"
앞산 베네스트,남구 큰골길 146 (대명동),김규성,246-7597,사복) 베네스트,남구 큰골길146 (대명동)
더불어남구 보호작업장,"남구 대명로 276-1, 3층 (대명동)",강창근,651-5515,사복) 더불어복지재단,"남구 대명로276-1, 3층 (대명동)"
청인장애인 보호작업장,"남구 성당로 102, 4층, 5층 (대명동)",정남진,624-8520,사복) 청인재단,"남구 성당로102, 4층, 5층 (대명동)"
(사)대한안마사협회 대구지부대구 안마수련원,"남구 현충로 206 (대명동, 7층)",김순근,627-6301,사) 대한안마사협회 대구지부,"남구 현충로 206 (대명동, 7층)"
어울림 보호작업장,남구 중앙대로30길 69 (봉덕동),김흥식,625-9530,사) 대구지적 발달장애인 복지협회,남구 중앙대로30길69 (봉덕동)
대구전환 서비스센터,남구 앞산순환로 539 (대명동),전보성,965-4172,사복) 보경 복지재단,남구 앞산순환로539 (대명동)
성보 보호작업장,북구 동북로71길 9-29 (복현동),장원현,943-8318,사복) 성보 재활원,북구 동북로71길9-29 (복현동)
한우리 보호작업장,북구 복현로 24 (복현동),이상익,384-1408,사복) 선산 복지재단,북구 복현로34길 24 (복현동)
선린 보호작업장,"북구 관음동로9길 10-25 (관음동, 10-25 B동)",신영식,324-1701,사복) 선린 복지재단,"북구 관음동로9길 10-25 (관음동, 10-25 B동)"
해인 보호작업장,북구 구암로60길 46-15 (구암동),김정일,323-3432,사복) 해인 복지재단,북구 구암로60길 46-15 (구암동)
반석 보호작업장,북구 검단로27길 58-10 (검단동),장윤채,381-1126,사) 반석복지회,북구 검단로27길 58-10 (검단동)
행복한일터,북구 태전로19길 12-2 (태전동),현재민,314-6726,사) 대한 정신장애인 가족협회 대구광역시지부,북구 태전로19길12-2 (태전동)
혜성 보호작업장,수성구 청수로45길 41 (황금동),권혜영,761-0812,사복) 아시아 복지재단,수성구 청수로45길 41 (황금동)
수성 보호작업장,"수성구 세진로 59, 2층 (만촌동)",오성수,744-7009,사) 대구 지적발달 장애인복지협회,"수성구 세진로 59, 2층 (만촌동)"
희망드리 보호작업장,수성구 파동로51길 26-17 (파동),한낭철,764-1070,사) 국제 라이온스 협회 356-A지구,수성구 파동로51길26-17 (파동)
섬들,달서구 달구벌대로291길 103(장기동),정순태,526-0230,사) 대구지체 장애인협회,달서구 달구벌대로291길 103(장기동)
행복누리,달서구 성서서로19길 36 (월암동),이성일,359-3523,사) 한국장애인 문화예술 협회,달서구 성서서로19길 36 (월암동)
여성장애인 보호작업장,"달서구 월배로 410, 4층 (송현동)",김문수,637-6054,사) 대구 여성장애인연대,"달서구 월배로 410, 4층 (송현동)"
다운 보호작업장,달서구 와룡로 37 (죽전동),민해정,562-5008,사) 대구 다운협회,달서구 와룡로58길 37 (죽전동)
가온 보호작업장,"달서구 와룡로5길 11, 2층 (본동)",조원준,626-1142,사)대구지적 발달장애인 복지협회,"달서구 와룡로5길 11, 2층 (본동)"
버팀목중증장애인 보호작업장,달서구 성서4차첨단로 370 (대천동),강진상,263-2419,사복) 유화 복지재단,달서구 성서4차첨단로 370 (대천동)
학산 보호작업장,달성군 옥포읍 비슬로447길 20,이상헌,634-9191,사복) 대구가톨릭 사회복지회,달성군 옥포읍 비슬로447길 20
