시설명,소재지,시설장,전화번호,운영법인,원본 소재지,lat,lon
자유재활원,동구 팔공산로 225,강영신,986-3060,아시아복지재단,동구 팔공산로 225,35.9855708,128.6557071
힘찬누리,남구 효성로 50-1,임경미,473-0123,아시아복지재단,남구 효성로 50-1,35.8371373,128.5990219
카리타스달서구보금자리(실비),달서구 용산큰못1길 12,차호영,721-7090,대구가톨릭 사회복지회,달서구 용산큰못1길 12, , 
선명요육원,동구 팔공산로 225,남창현,986-3070,아시아복지재단,동구 팔공산로 225,35.9855708,128.6557071
노아의 집,서구 국채보상로42길 35,장춘호,525-7393,애망원유지재단,서구 국채보상로 42길 35,35.8679003,128.5545554
애망요양원,수성구 파동로51길 56,박은희,761-5980,애망원유지재단,수성구 파동로51길 56,35.822805,128.6090805
미소마을,달구벌대로 14-17,오일열,359-1004,덕수복지재단,다사읍 달구벌대 로126길 14-17,35.849523,128.53235
애망장애영아원,수성구 파동로51길 56,이은영,763-7363,애망원유지재단,수성구 파동로51길 56,35.822805,128.6090805
해인단기보호시설,북구 구암로60길 46-18,김경숙,312-3430,(사복)해인복지재단,북구 구암로60길 46-18,35.9380969,128.5685187
해피스테이,"서구 달서로43길 8-13, A/202호",이종현,559-8287,사)한국신장장애인협회,"서구 달서로43길 8-13, A/202호",35.8819631,128.5705871
그레이스홈,"서구 달서로9길 11, 미소빌라트 301호",이상민,554-1134,(사복)대구서문복지재단,"서구 달서로9길 11, 미소빌라트 301호",35.8659008,128.5695021
더불어남구장애인 공동생활가정,남구 명덕로14길 68,김미정,651-4867,(사복)더불어복지재단,남구 명덕로14길 68,35.855001,128.5766882
늘푸른집,"남구 앞산순환로89길 82, 대영빌 301호",정병주,621-1502,"사)한국지적발달장애인,복지협회",남구 앞산순환로89길 82 대영빌 301호,35.8329563,128.5735417
주황무지개그룹홈 공동생활가정,"남구 안지랑로10길 6, 501호 (대명동,파라다이스)",최원현,644-2356,사)한국지적발달장애인,"남구 안지랑로 10길 6, 501호 (대명동,파라다이스)",35.834126,128.5714108
꿈여울 공동생활가정,남구 두류공원로 43,이경순,653-8520,(사복)청인재단,"남구 두류공원로19길 43, 201호",35.8393762,128.5762463
맑은소리A,"남구 안지랑로7길 11, 205호(대명동)",노봉남,,사)한국지적발달장애인,"남구 안지랑로7길 11, 205호(대명동)",35.8335648,128.5686721
청인공동생활가정,수성구 고산로 70 ,이근영,792-6065,(사복)청인재단,수성구 고산로 70 청솔타운 216동 1107호,35.8418382,128.7053567
들안길 공동생활가정,"수성구 청수로20길 24-9, 301호 (두산동,아트하우스)",이응수,070-8125- 0124,사)한국지적발달장애인,"수성구 청수로20길 24-9, 301호 (두산동,아트하우스)",35.8401973,128.6191503
하은의집,"달서구 월배로80길 86, 장인가 502호",권애경,621-0226,사)한국지적발달장애인,"달서구 월배로80길 86, 장인가 502호",35.8281804,128.5535521
블레싱홈,"달서구 중흥로5길 22, 한빛빌 501호",이상민,261-1134,(사복)대구서문복지재단,"달서구 중흥로5길 22, 한빛빌 501호",35.8311151,128.5567241
