시설명,소재지,lat,lon,ringId,distance,bus_count,subway_count,taxi_count
자유재활원,동구 팔공산로 225,35.9855708,128.6557071,1,500,2,0,3
선명요육원,동구 팔공산로 225,35.9855708,128.6557071,1,500,2,0,3
만승자립원,동구 팔공산로 225 (덕곡동),35.9855708,128.6557071,1,500,2,0,3
자유 보호작업장,동구 팔공산로 225 (덕곡동),35.9855708,128.6557071,1,500,2,0,3
더불어 보호작업장,백안동 508 (백안동),35.95542,128.69552,1,500,6,0,1356
섬들,달서구 달구벌대로291길 103(장기동),35.8517352,128.5251903,1,500,19,1,61289
행복누리,달서구 성서서로19길 36 (월암동),35.8335237,128.4976221,1,500,9,0,304
버팀목중증장애인 보호작업장,달서구 성서4차첨단로 370 (대천동),35.8238394,128.5121396,1,500,8,0,94
더불어,동구 갓바위로 35-7 (진인동),35.9646,128.71888,1,500,4,0,38
한사랑,동구 율하동로28길 30-1(신기동),35.87143,128.7054819,1,500,4,0,8986
동구장애인 사회재활센터,"동구 안심로22길 40, 403호",35.8635067,128.695512,1,500,14,0,22689
마실,"동구 율하동로28길 30-1, 4층(신기동)",35.87143,128.7054819,1,500,4,0,8986
범물,수성구 범안로16길 41 (범물동),35.816132,128.6475786,1,500,6,1,27514
달서구성서,"달서구 신당로 56, 3층 (신당동)",35.853636,128.4955942,1,500,14,1,61727
달구벌종합 복지관부설*,달서구 달구벌대로291길 (용산동),35.8517352,128.5251903,1,500,19,1,61289
홍익발달장애인주간활동서비스센터,대구 수성구 지범로31길 3,35.8229766,128.6390398,1,500,13,1,25191
사회적협동조합 마을애,"대구 동구 안심로22길 40-1, 3층",35.8635067,128.695512,1,500,14,0,22689
달서구장애인복지센터,대구 달서구 갈밭남로 71,35.8011274,128.5339689,1,500,14,0,13293
더불어진인마을,대구광역시 동구 갓바위로 35-15,35.96099738,128.7111244,1,500,6,0,124
야베스빌,대구광역시 동구 반야월로26길 39-2,35.87117815,128.7014272,1,500,5,1,10694
자유재활원,대구광역시 동구 팔공산로 225,35.99718756,128.6137631,1,500,2,0,268
선명요육원,대구광역시 동구 팔공산로 225,35.99718756,128.6137631,1,500,2,0,268
카리타스 달서구보금자리,대구광역시 달서구 용산큰못1길 12,35.85921209,128.5267275,1,500,7,0,9776
성요셉공동생활가정,대구광역시 달서구 상화북로5길 39,35.81245047,128.5271991,1,500,8,1,24745
