,행정동,구,장애수,교통안전지수,14~23세수,콜택시,대중교통 만족도,예산액,복지 만족도,의류소비인구
0,대명10동,남구,286,80.78,1,9957,6.5,10072,2.72,121
1,대명11동,남구,329,80.78,2,11000,6.5,9527,2.72,139
2,대명1동,남구,304,80.78,2,3586,6.5,12658,2.72,128
3,대명2동,남구,300,80.78,2,8261,6.5,11353,2.72,127
4,대명3동,남구,368,80.78,2,48073,6.5,11991,2.72,156
5,대명4동,남구,397,80.78,2,28775,6.5,12203,2.72,168
6,대명5동,남구,156,80.78,1,27870,6.5,7389,2.72,66
7,대명6동,남구,346,80.78,2,3875,6.5,10576,2.72,146
8,대명9동,남구,462,80.78,2,8662,6.5,17319,2.72,195
9,봉덕1동,남구,243,80.78,1,3600,6.5,10220,2.72,103
10,봉덕2동,남구,304,80.78,2,4390,6.5,13959,2.72,128
11,봉덕3동,남구,399,80.78,2,4591,6.5,18494,2.72,169
12,이천동,남구,332,80.78,2,3918,6.5,13373,2.72,140
13,성당동,달서구,664,70.58,6,15520,6.2,16066,2.81,260
14,"두류1,2동",달서구,505,70.58,4,16646,6.2,9983,2.81,198
15,두류3동,달서구,238,70.58,2,9161,6.2,5704,2.81,93
16,본리동,달서구,391,70.58,3,5687,6.2,14644,2.81,153
17,감삼동,달서구,596,70.58,5,13315,6.2,18394,2.81,233
18,죽전동,달서구,343,70.58,3,4555,6.2,9415,2.81,134
19,장기동,달서구,455,70.58,4,11529,6.2,12028,2.81,178
20,용산1동,달서구,637,70.58,5,40923,6.2,21337,2.81,249
21,용산2동,달서구,611,70.58,5,1755,6.2,19907,2.81,239
22,이곡1동,달서구,459,70.58,4,5006,6.2,16182,2.81,180
23,이곡2동,달서구,360,70.58,3,6926,6.2,11561,2.81,141
24,신당동,달서구,1086,70.58,9,14864,6.2,24479,2.81,425
25,월성1동,달서구,479,70.58,4,7475,6.2,25718,2.81,187
26,월성2동,달서구,1062,70.58,9,9698,6.2,11528,2.81,416
27,진천동,달서구,1109,70.58,10,14196,6.2,35600,2.81,434
28,유천동,달서구,335,70.58,3,7767,6.2,21832,2.81,131
29,상인1동,달서구,554,70.58,5,7732,6.2,24920,2.81,217
30,상인2동,달서구,436,70.58,4,8039,6.2,13678,2.81,171
31,상인3동,달서구,794,70.58,7,3125,6.2,7706,2.81,311
32,도원동,달서구,822,70.58,7,16354,6.2,24429,2.81,322
33,송현1동,달서구,610,70.58,5,8742,6.2,13578,2.81,239
34,송현2동,달서구,763,70.58,7,6290,6.2,12843,2.81,299
35,본동,달서구,364,70.58,3,7415,6.2,8773,2.81,142
36,신암1동,동구,288,73.47,2,5192,6.7,7418,2.69,119
37,신암2동,동구,287,73.47,2,2052,6.7,8941,2.69,118
38,신암3동,동구,232,73.47,2,3599,6.7,10033,2.69,96
