행정동,구,장애수,교통안전지수,14~23세수,콜택시,대중교통 만족도,예산액,복지 만족도,의류소비인구
대명10동,남구,-0.563971943,1.828833208,-1.213666321,0.27921746,0.084350162,-0.287677889,-0.854031048,-0.615325428
대명11동,남구,-0.376940598,1.828833208,-0.831160111,0.412200478,0.084350162,-0.37284611,-0.854031048,-0.431304307
대명1동,남구,-0.485679752,1.828833208,-0.831160111,-0.533088205,0.084350162,0.116441414,-0.854031048,-0.543761659
대명2동,남구,-0.503078017,1.828833208,-0.831160111,0.062976618,0.084350162,-0.087493501,-0.854031048,-0.553985054
대명3동,남구,-0.207307518,1.828833208,-0.831160111,5.139026393,0.084350162,0.012208013,-0.854031048,-0.257506581
대명4동,남구,-0.081170099,1.828833208,-0.831160111,2.678521807,0.084350162,0.04533767,-0.854031048,-0.134825834
대명5동,남구,-1.129415543,1.828833208,-1.213666321,2.563133858,0.084350162,-0.706955572,-0.854031048,-1.177612187
대명6동,남구,-0.302997973,1.828833208,-0.831160111,-0.496240561,0.084350162,-0.208916818,-0.854031048,-0.359740538
대명9동,남구,0.201551701,1.828833208,-0.831160111,0.114104317,0.084350162,0.844825044,-0.854031048,0.141205848
봉덕1동,남구,-0.751003288,1.828833208,-1.213666321,-0.531303198,0.084350162,-0.264549638,-0.854031048,-0.799346549
봉덕2동,남구,-0.485679752,1.828833208,-0.831160111,-0.430577805,0.084350162,0.319751241,-0.854031048,-0.543761659
봉덕3동,남구,-0.072470967,1.828833208,-0.831160111,-0.404950205,0.084350162,1.028444604,-0.854031048,-0.124602438
이천동,남구,-0.3638919,1.828833208,-0.831160111,-0.49075804,0.084350162,0.228175869,-0.854031048,-0.421080911
성당동,달서구,1.080164065,-1.089847242,0.69886473,0.988502723,-0.935519982,0.649016272,0.162147048,0.805726563
"두류1,2동",달서구,0.388583046,-1.089847242,-0.06614769,1.132068283,-0.935519982,-0.301586093,0.162147048,0.171876035
두류3동,달서구,-0.772751118,-1.089847242,-0.831160111,0.177727065,-0.935519982,-0.970273833,0.162147048,-0.901580505
본리동,달서구,-0.107267496,-1.089847242,-0.448653901,-0.265209661,-0.935519982,0.426797537,0.162147048,-0.288176768
감삼동,달서구,0.784393566,-1.089847242,0.31635852,0.707364128,-0.935519982,1.012817407,0.162147048,0.529694881
죽전동,달서구,-0.316046672,-1.089847242,-0.448653901,-0.409540223,-0.935519982,-0.39034857,0.162147048,-0.482421285
장기동,달서구,0.171104738,-1.089847242,-0.06614769,0.479648241,-0.935519982,0.017990076,0.162147048,-0.032591878
용산1동,달서구,0.962725779,-1.089847242,0.31635852,4.227397842,-0.935519982,1.472725801,0.162147048,0.693269211
용산2동,달서구,0.849637059,-1.089847242,0.31635852,-0.766541614,-0.935519982,1.249256891,0.162147048,0.591035255
이곡1동,달서구,0.188503003,-1.089847242,-0.06614769,-0.352037499,-0.935519982,0.66714382,0.162147048,-0.012145087
이곡2동,달서구,-0.242104047,-1.089847242,-0.448653901,-0.107236546,-0.935519982,-0.054988932,0.162147048,-0.410857516
신당동,달서구,2.915680984,-1.089847242,1.84638336,0.904862397,-0.935519982,1.963732316,0.162147048,2.49258684
월성1동,달서구,0.275494326,-1.089847242,-0.06614769,-0.037238773,-0.935519982,2.157353281,0.162147048,0.059418683
월성2동,달서구,2.811291396,-1.089847242,1.84638336,0.246194831,-0.935519982,-0.060145907,0.162147048,2.40057628
진천동,달서구,3.015721005,-1.089847242,2.228889571,0.819692066,-0.935519982,3.701632843,0.162147048,2.584597401
유천동,달서구,-0.350843201,-1.089847242,-0.448653901,-8.62785E-06,-0.935519982,1.550080424,0.162147048,-0.513091472
상인1동,달서구,0.601711788,-1.089847242,0.31635852,-0.004471145,-0.935519982,2.032648253,0.162147048,0.366120551
상인2동,달서구,0.088462981,-1.089847242,-0.06614769,0.034671507,-0.935519982,0.275838818,0.162147048,-0.104155647
상인3동,달서구,1.645607665,-1.089847242,1.08137094,-0.591865934,-0.935519982,-0.657417359,0.162147048,1.32711974
