PBUENAME,CATEGORY,ADDRESS
달서구 수화통역센터,이용시설(지역사회재활시설),대구광역시 달서구 월곡로26안길 3
대구점자도서관,이용시설(지역사회재활시설),대구광역시 달서구 월배로 414
대구광역시 달구벌 종합스포츠센터,이용시설(지역사회재활시설),대구광역시 달서구 달구벌대로291길 100
대구광역시 시각장애인 복지관,이용시설(지역사회재활시설),대구광역시 달서구 달구벌대로291길 100
대구광역시 청각·언어쟁애인 복지관,이용시설(지역사회재활시설),대구광역시 달서구 달구벌대로291길 100
달서구 월배장애인재활복지센터,기타시설,대구광역시 달서구 월곡로26길 3
카리타스탈서구보금자리,생활시설(거주시설),대구광역시 달서구 용산큰못1길 12 외 4개소
본미소힐링센터,생활시설(거주시설),대구광역시 달서구 구마로26안길 32-3
달서구 성요셉 공동생활가정,생활시설(거주시설),"대구광역시 달서구 상화북로5길 39 101동, 505호(현대1차아파트)"
들꽃마을 장애인 공동생활가정,생활시설(거주시설),대구광역시 달서구 와룡로2길 33
들꽃마을 여자장애인 공동생활가정,생활시설(거주시설),"대구광역시 달서구 학산로2길 11 101동, 1510호(월성동 월성우방)"
하은의 집,생활시설(거주시설),"대구광역시 달서구 월배로80길 86, 장인가 502호"
느티나무공동생활가정,생활시설(거주시설),대구광역시 달서구 감삼길 26-10
블레싱 홈,생활시설(거주시설),대구광역시 중흥로5길 22
나누리,생활시설(거주시설),대구시 달서구 성서로72길 53-8
한창 장애인 근로사업장,이용시설(직업재활시설),대구광역시 달서구 성서공단북로69길 66
학산 장애인 보호작업장,이용시설(직업재활시설),대구광역시 달서구 성서동로53안길 45
여성장애인 보호작업장,이용시설(직업재활시설),대구광역시 달서구 와룡로5길 11
행복누리 장애인 보호작업장,이용시설(직업재활시설),대구광역시 달서구 성서로19길 36(월암동)
세움중증장애인 보호작업장,이용시설(직업재활시설),대구광역시 달서구 성서4차첨담로 370(대천동)
다운보호작업장,이용시설(직업재활시설),대구시 달서구 와룡로 5길 11
가온보호작업장,이용시설(직업재활시설),대구시 달서구 장기로 43
달서구 장애인 주간·단기 보호센터,이용시설(지역사회재활시설),대구광역시 달서구 파도고개로12길 47
달서구 상인장애인 주간보호센터,이용시설(지역사회재활시설),대구광역시 달서구 월곡로26안길 3
달서구 성서장애인 주간보호센터,이용시설(지역사회재활시설),대구광역시 달서구 신당로 56
예은장애인주간보호센터,이용시설(지역사회재활시설),대구광역시 달서구 월배로80길 125
마루주간보호센터,이용시설(지역사회재활시설),대구광역시 달서구 야외음악당로47길 146
백향목장애인주간보호센터,이용시설(지역사회재활시설),대구광역시 달서구 월배로85길 23
카리타스탈서구보금자리,생활시설(거주시설),대구광역시 달서구 용산큰못1길 12 외 4개소
본미소힐링센터,생활시설(거주시설),대구광역시 달서구 구마로26안길 32-3
달서구 성요셉 공동생활가정,생활시설(거주시설),"대구광역시 달서구 상화북로5길 39 101동, 505호(현대1차아파트)"
들꽃마을 장애인 공동생활가정,생활시설(거주시설),대구광역시 달서구 와룡로2길 33
들꽃마을 여자장애인 공동생활가정,생활시설(거주시설),"대구광역시 달서구 학산로2길 11 101동, 1510호(월성동 월성우방)"
하은의 집,생활시설(거주시설),"대구광역시 달서구 월배로80길 86, 장인가 502호"
느티나무공동생활가정,생활시설(거주시설),대구광역시 달서구 감삼길 26-10
블레싱 홈,생활시설(거주시설),대구광역시 중흥로5길 22
나누리,생활시설(거주시설),대구시 달서구 성서로72길 53-8
한창 장애인 근로사업장,이용시설(직업재활시설),대구광역시 달서구 성서공단북로69길 66
학산 장애인 보호작업장,이용시설(직업재활시설),대구광역시 달서구 성서동로53안길 45
여성장애인 보호작업장,이용시설(직업재활시설),대구광역시 달서구 와룡로5길 11
행복누리 장애인 보호작업장,이용시설(직업재활시설),대구광역시 달서구 성서로19길 36(월암동)
세움중증장애인 보호작업장,이용시설(직업재활시설),대구광역시 달서구 성서4차첨담로 370(대천동)
다운보호작업장,이용시설(직업재활시설),대구시 달서구 와룡로 5길 11
가온보호작업장,이용시설(직업재활시설),대구시 달서구 장기로 43
달서구 장애인 주간·단기 보호센터,이용시설(지역사회재활시설),대구광역시 달서구 파도고개로12길 47
달서구 상인장애인 주간보호센터,이용시설(지역사회재활시설),대구광역시 달서구 월곡로26안길 3
달서구 성서장애인 주간보호센터,이용시설(지역사회재활시설),대구광역시 달서구 신당로 56
예은장애인주간보호센터,이용시설(지역사회재활시설),대구광역시 달서구 월배로80길 125
마루주간보호센터,이용시설(지역사회재활시설),대구광역시 달서구 야외음악당로47길 146
백향목장애인주간보호센터,이용시설(지역사회재활시설),대구광역시 달서구 월배로85길 23
달서구 수화통역센터,이용시설(지역사회재활시설),대구광역시 달서구 월곡로26안길 3
대구점자도서관,이용시설(지역사회재활시설),대구광역시 달서구 월배로 414
대구광역시 달구벌 종합복지관,이용시설(지역사회재활시설),대구광역시 달서구 달구벌대로291길 100
대구광역시 달구벌 종합스포츠센터,이용시설(지역사회재활시설),대구광역시 달서구 달구벌대로291길 100
대구광역시 시각장애인 복지관,이용시설(지역사회재활시설),대구광역시 달서구 달구벌대로291길 100
대구광역시 청각·언어쟁애인 복지관,이용시설(지역사회재활시설),대구광역시 달서구 달구벌대로291길 100
달서구 월배장애인재활복지센터,기타시설,대구광역시 달서구 월곡로26길 3
대구시희망드리보호작업장,중증장애인생산품생산시설,대구 수성구 파동로51길 26-17(파동)
반석보호작업장,중증장애인생산품생산시설,대구 북구 검단동로4길 22(검단동)
일심보호작업장,중증장애인생산품생산시설,대구 동구 반야월북로27길 33 (각산동)
한국장애인문화협회 장애인기업기전사업본부,중증장애인생산품생산시설,대구 달성군 옥포면 간경길 30-5
세움중증장애인보호작업장,중증장애인생산품생산시설,대구 달서구 성서4차첨단로370
대구드림텍,중증장애인생산품생산시설,대구 달서구 성서로 68길 42 (갈산동)
학산보호작업장,중증장애인생산품생산시설,대구 달서구 성서동로53안길 45
제일장애인보호작업장,중증장애인생산품생산시설,"대구 동구 송라로2길 17-4 (신천동 171-6, 15)"
숲중증장애인다수고용사업장,중증장애인생산품생산시설,대구 수성구 팔현길 136(고모동)
행복의 일터,중증장애인생산품생산시설,대구 중구 달성공원로4길 30 
남산보호작업장,중증장애인생산품생산시설,"대구 중구 남산로7길 50 (남산동, 4층, 지하1층)"
한창,중증장애인생산품생산시설,대구 달서구 성서공단북로69길 66 (갈산동)
혜성보호작업장,중증장애인생산품생산시설,대구 수성구 청수로45길 41
자유보호작업장,중증장애인생산품생산시설,대구 동구 팔공산로 225 
만승자립원,중증장애인생산품생산시설,대구 동구 팔공산로 225 (덕곡동 34)
달성군장애인재활자립작업장,중증장애인생산품생산시설,대구 달성군 논공읍 논공로 242
성보보호작업장,중증장애인생산품생산시설,대구 북구 동북로71길 9-29(복현동)
해인장애인보호작업장,중증장애인생산품생산시설,대구 북구 구암로60길 46-15
사)중증장애인맞춤형일자리제공지원협회(동대구지사),중증장애인생산품생산시설,"대구 동구 첨단로8길 1, 305호"
모두중증장애인보호작업장,중증장애인생산품생산시설,대구 서구 서대구로 329-12
